"","GDAY_DS","ER","WLS"
"1",2020-05-05,11,0
"2",2020-05-06,6.5,0
"3",2020-05-07,6,0.333
"4",2020-05-08,5.5,0.25
"5",2020-05-09,7,0.2
"6",2020-05-10,6.333,0.333
"7",2020-05-12,5.571,0.429
"8",2020-05-13,5.25,0.5
"9",2020-05-14,5.111,0.444
"10",2020-05-15,5.3,0.4
"11",2020-05-16,5.182,0.455
"12",2020-05-17,5.167,0.417
"13",2020-05-19,4.923,0.462
"14",2020-05-20,4.571,0.5
"15",2020-05-21,4.333,0.533
"16",2020-05-22,4.062,0.562
"17",2020-05-23,4,0.588
"18",2020-05-24,3.889,0.556
"19",2020-05-26,3.278,0.611
"20",2020-05-27,3.444,0.611
"21",2020-05-28,3.5,0.556
"22",2020-05-29,3.611,0.556
"23",2020-05-30,3.167,0.611
"24",2020-05-31,3.722,0.556
"25",2020-06-02,3.778,0.556
"26",2020-06-03,3.722,0.556
"27",2020-06-04,3.667,0.611
"28",2020-06-05,3.556,0.611
"29",2020-06-06,3.444,0.556
"30",2020-06-07,3.333,0.556
"31",2020-06-09,3.333,0.556
"32",2020-06-10,3.333,0.556
"33",2020-06-11,3.944,0.5
"34",2020-06-12,4.111,0.5
"35",2020-06-13,3.944,0.5
"36",2020-06-14,4.056,0.5
"37",2020-06-16,4.278,0.5
"38",2020-06-17,4.222,0.556
"39",2020-06-19,4.111,0.611
"40",2020-06-20,3.944,0.667
"41",2020-06-21,4.278,0.611
"42",2020-06-23,3.778,0.611
"43",2020-06-26,3.944,0.611
"44",2020-06-27,3.944,0.556
"45",2020-06-28,3.833,0.5
"46",2020-07-01,3.722,0.556
"47",2020-07-02,3.667,0.611
"48",2020-07-03,3.611,0.667
"49",2020-07-04,4,0.611
"50",2020-07-05,4.389,0.556
"51",2020-07-07,4.056,0.556
"52",2020-07-08,4.278,0.5
"53",2020-07-09,4.444,0.5
"54",2020-07-10,4.611,0.556
"55",2020-07-11,4.556,0.556
"56",2020-07-13,4.5,0.556
"57",2020-07-14,4.556,0.5
"58",2020-07-15,4.5,0.5
"59",2020-07-16,4.333,0.5
"60",2020-07-17,4.222,0.556
"61",2020-07-18,4.278,0.5
"62",2020-07-19,4.611,0.5
"63",2020-07-21,4.667,0.556
"64",2020-07-22,4.556,0.556
"65",2020-07-25,4.611,0.556
"66",2020-07-26,4.778,0.556
"67",2020-07-30,4.5,0.556
"68",2020-07-31,4.167,0.611
"69",2020-08-01,4.167,0.611
"70",2020-08-02,4.167,0.611
"71",2020-08-04,4.833,0.556
"72",2020-08-05,4.778,0.5
"73",2020-08-06,4.667,0.5
"74",2020-08-08,4.611,0.5
"75",2020-08-09,4.778,0.5
"76",2020-08-11,4.889,0.5
"77",2020-08-12,4.889,0.5
"78",2020-08-13,5,0.444
"79",2020-08-14,5,0.5
"80",2020-08-15,4.722,0.556
"81",2020-08-16,4.889,0.556
"82",2020-08-18,5.111,0.5
"83",2020-08-19,5.5,0.444
"84",2020-08-20,6,0.389
"85",2020-08-21,6.111,0.389
"86",2020-08-22,6.278,0.389
"87",2020-08-23,6.333,0.444
"88",2020-08-25,6.389,0.444
"89",2020-08-26,5.778,0.5
"90",2020-08-27,5.722,0.5
"91",2020-08-28,6.056,0.5
"92",2020-08-30,6.222,0.444
"93",2020-08-30,6,0.5
"94",2020-08-31,5.778,0.5
"95",2020-09-03,5.5,0.556
"96",2020-09-04,5.444,0.611
"97",2020-09-04,5.611,0.556
"98",2020-09-05,5.667,0.556
"99",2020-09-06,5.611,0.556
"100",2020-09-08,5.444,0.611
"101",2020-09-10,5.222,0.611
"102",2020-09-12,4.611,0.667
"103",2020-09-13,4.444,0.722
"104",2020-09-15,5.056,0.667
"105",2020-09-16,4.944,0.611
"106",2020-09-17,4.611,0.667
"107",2020-09-18,4.556,0.667
"108",2020-09-19,4.278,0.722
"109",2020-09-20,4.5,0.667
