"","GDAY_DS","ER","WLS"
"1",2020-05-05,0,1
"2",2020-05-06,1,1
"3",2020-05-07,3.333,0.667
"4",2020-05-08,3.25,0.75
"5",2020-05-09,3.2,0.8
"6",2020-05-10,3.167,0.833
"7",2020-05-12,2.714,0.857
"8",2020-05-13,2.75,0.75
"9",2020-05-14,3.333,0.667
"10",2020-05-16,3.3,0.6
"11",2020-05-16,3.455,0.545
"12",2020-05-17,3.5,0.583
"13",2020-05-19,3.615,0.615
"14",2020-05-20,3.643,0.571
"15",2020-05-21,3.933,0.6
"16",2020-05-22,4.188,0.562
"17",2020-05-23,4.118,0.588
"18",2020-05-24,4,0.556
"19",2020-05-26,4.389,0.5
"20",2020-05-27,4.778,0.444
"21",2020-05-28,4.833,0.444
"22",2020-05-29,4.667,0.444
"23",2020-05-30,4.667,0.444
"24",2020-05-31,5.167,0.389
"25",2020-06-02,5.278,0.389
"26",2020-06-03,5.222,0.444
"27",2020-06-04,4.944,0.5
"28",2020-06-05,4.944,0.556
"29",2020-06-06,4.889,0.611
"30",2020-06-07,5,0.556
"31",2020-06-09,4.889,0.556
"32",2020-06-10,4.778,0.556
"33",2020-06-11,4.667,0.5
"34",2020-06-12,4.333,0.556
"35",2020-06-13,4.444,0.556
"36",2020-06-14,4.833,0.556
"37",2020-06-16,4.722,0.556
"38",2020-06-17,4.389,0.611
"39",2020-06-18,3.944,0.667
"40",2020-06-19,4,0.667
"41",2020-06-20,3.944,0.667
"42",2020-06-21,3.389,0.722
"43",2020-06-23,3.444,0.722
"44",2020-06-25,3.444,0.722
"45",2020-06-25,3.556,0.722
"46",2020-06-26,3.833,0.667
"47",2020-06-27,3.611,0.667
"48",2020-06-28,3.278,0.722
"49",2020-06-30,3.222,0.722
"50",2020-07-01,3.889,0.722
"51",2020-07-02,3.889,0.778
"52",2020-07-03,3.833,0.722
"53",2020-07-04,3.889,0.722
"54",2020-07-05,3.944,0.722
"55",2020-07-07,4.222,0.722
"56",2020-07-08,4.389,0.722
"57",2020-07-09,4.444,0.722
"58",2020-07-10,4.889,0.667
"59",2020-07-11,5.222,0.611
"60",2020-07-13,5.833,0.556
"61",2020-07-14,5.722,0.556
"62",2020-07-15,5.833,0.556
"63",2020-07-16,6.056,0.5
"64",2020-07-17,6.222,0.5
"65",2020-07-18,6.278,0.5
"66",2020-07-19,6.5,0.444
"67",2020-07-21,6.722,0.389
"68",2020-07-24,6.167,0.389
"69",2020-07-25,6.167,0.333
"70",2020-07-26,6.111,0.389
"71",2020-07-28,5.889,0.389
"72",2020-07-30,5.611,0.444
"73",2020-07-31,5.222,0.5
"74",2020-08-01,5.222,0.444
"75",2020-08-02,5.222,0.444
"76",2020-08-04,4.944,0.444
"77",2020-08-05,4.611,0.5
"78",2020-08-06,4,0.556
"79",2020-08-07,4.222,0.5
"80",2020-08-08,4.056,0.5
"81",2020-08-09,3.611,0.556
"82",2020-08-11,3.278,0.556
"83",2020-08-12,3.333,0.556
"84",2020-08-13,3.278,0.611
"85",2020-08-14,3.222,0.611
"86",2020-08-15,3,0.667
"87",2020-08-16,2.833,0.722
"88",2020-08-18,3.111,0.667
"89",2020-08-19,3.167,0.667
"90",2020-08-20,3.167,0.667
"91",2020-08-21,3.389,0.611
"92",2020-08-22,3.111,0.611
"93",2020-08-23,3.444,0.611
"94",2020-08-25,3.278,0.667
"95",2020-08-26,3.5,0.611
"96",2020-08-27,3.778,0.611
"97",2020-08-28,3.722,0.667
"98",2020-08-29,3.944,0.611
"99",2020-08-30,4,0.611
"100",2020-09-01,4,0.611
"101",2020-09-02,4.111,0.611
"102",2020-09-03,4.111,0.611
"103",2020-09-04,4.222,0.611
"104",2020-09-05,4.667,0.556
"105",2020-09-06,4.889,0.5
"106",2020-09-08,5.278,0.556
"107",2020-09-09,5.333,0.556
"108",2020-09-10,5.111,0.5
"109",2020-09-11,4.833,0.556
"110",2020-09-12,4.778,0.611
"111",2020-09-13,4.611,0.588
"112",2020-09-15,5,0.529
"113",2020-09-16,5.111,0.529
"114",2020-09-17,4.833,0.529
"115",2020-09-18,4.667,0.471
"116",2020-09-19,4.722,0.529
"117",2020-09-20,5.111,0.471
